Month,Wind speed,Wind direction,Sun,Cloud cover,Chances of rain
4,71,4,48,27,53
9,17,1,21,68,67
4,39,4,82,67,58
3,17,4,88,59,23
8,59,3,46,75,78
8,30,2,48,87,16
8,74,1,25,48,35
5,41,4,92,62,72
7,16,4,54,40,90
6,56,3,90,61,54
5,61,1,28,42,42
2,10,4,86,73,89
1,23,1,15,20,65
1,22,2,33,93,46
11,31,2,41,28,18
11,20,1,71,98,67
10,25,1,91,60,43
6,59,4,15,54,24
1,26,3,68,76,69
12,17,4,27,73,32
8,22,4,16,84,71
5,63,1,69,47,15
5,7,2,14,38,86
9,22,1,10,64,67
11,22,3,97,62,34
9,32,3,38,21,21
10,8,3,87,42,83
6,71,1,39,76,15
2,34,4,82,56,20
8,54,1,93,57,14
11,49,1,66,81,21
11,40,3,68,94,46
9,19,1,78,96,82
9,79,4,52,71,79
7,69,1,61,64,56
5,11,2,69,43,13
5,37,3,91,66,66
1,37,2,91,89,62
6,39,3,71,34,48
1,54,3,26,75,38
6,39,1,55,65,74
9,62,4,52,58,87
12,61,2,11,89,42
10,55,3,50,43,59
7,72,4,97,85,56
1,0,1,73,62,82
7,29,2,41,72,13
8,28,3,28,54,39
8,39,3,82,22,76
6,13,4,94,22,25
1,25,3,100,50,19
9,66,3,40,45,47
7,2,3,23,47,77
5,78,3,56,30,84
2,69,1,60,53,54
10,11,3,71,72,73
6,0,1,48,80,21
11,65,3,67,50,50
9,6,4,39,67,63
6,6,2,70,29,79
6,10,1,49,24,45
3,32,2,55,88,12
1,44,1,70,52,38
9,78,1,54,84,64
2,22,3,93,36,50
9,38,1,15,44,27
9,72,3,57,50,83
11,38,4,76,35,66
11,11,1,83,27,66
10,77,1,58,63,38
9,50,1,71,30,55
1,63,2,44,47,75
4,56,1,28,22,40
5,80,1,60,49,14
8,77,2,36,36,25
4,71,3,56,50,44
9,37,1,61,69,10
6,0,2,53,37,54
7,22,2,11,41,89
3,69,4,69,58,59
1,14,3,39,27,42
10,55,4,56,67,33
12,55,3,68,82,36
10,64,3,88,92,59
5,3,4,67,64,59
5,48,3,92,32,76
3,18,1,64,92,33
4,35,1,42,74,46
5,46,2,23,93,80
3,61,1,24,45,68
12,27,1,88,96,83
1,1,4,39,23,21
7,37,1,84,46,28
11,8,2,15,23,59
1,65,1,65,56,59
2,7,1,28,61,76
3,16,4,70,50,16
1,55,3,86,94,63
8,74,1,56,92,42
5,8,3,76,43,50
6,68,1,68,75,21
8,16,3,64,28,45
3,10,2,56,45,75
5,21,2,81,66,40
11,72,2,63,99,89
10,76,1,62,59,79
7,20,3,70,82,29
10,61,2,46,67,23
3,52,3,81,36,13
8,34,1,23,71,76
5,47,2,66,62,42
7,2,3,37,75,36
3,37,1,53,32,71
8,41,1,91,88,62
3,74,4,93,20,87
5,11,4,51,27,11
5,78,2,75,73,59
3,63,1,23,45,86
11,25,4,39,76,43
1,11,4,37,96,52
11,26,1,41,96,22
3,44,4,15,70,34
5,44,4,53,84,67
2,74,2,64,64,83
9,60,3,77,47,44
1,65,3,65,56,23
10,13,1,35,92,71
6,69,3,88,37,18
6,12,3,41,32,49
4,21,2,87,38,16
8,38,1,81,87,87
1,47,3,20,60,19
4,65,4,67,53,26
9,24,1,12,98,68
8,5,4,31,29,86
2,0,3,73,30,45
3,66,4,80,100,64
8,62,1,80,26,26
10,78,2,100,68,46
4,59,4,80,26,37
3,20,1,67,74,59
4,38,3,29,75,89
8,63,3,64,50,21
2,56,4,71,75,15
6,49,3,74,89,86
12,9,1,84,81,58
9,76,1,95,48,77
12,22,4,24,25,71
12,41,2,16,84,70
8,47,4,64,45,67
6,75,3,27,79,54
3,43,1,89,100,74
5,2,1,68,49,69
10,79,4,59,36,81
4,50,2,41,77,12
4,49,2,48,80,76
9,8,4,52,51,85
11,61,4,78,56,65
12,77,2,37,91,90
7,72,3,93,51,59
8,31,2,73,69,87
3,11,1,72,92,53
3,67,3,41,56,64
2,53,4,61,35,46
2,47,3,25,43,72
3,66,3,33,47,89
11,28,3,86,38,72
8,58,3,36,31,90
6,13,3,11,41,16
6,1,3,57,78,80
1,34,3,90,64,60
8,54,3,35,65,63
2,3,3,64,80,56
11,61,4,56,79,53
7,11,3,57,73,33
3,61,3,11,91,61
4,34,1,62,23,81
9,4,4,77,63,72
12,5,3,61,87,58
10,76,1,96,20,74
1,50,4,51,87,56
6,35,4,72,58,18
8,72,3,94,56,44
6,76,3,25,39,50
7,80,4,73,56,13
9,14,4,23,27,70
2,6,2,28,93,39
1,42,2,66,59,27
8,22,3,37,69,65
9,24,3,94,33,83
11,20,1,14,74,26
10,4,3,54,82,43
4,3,4,70,22,71
7,23,2,26,70,10
9,8,4,77,20,57
7,73,1,19,34,65
10,3,1,14,42,54
4,62,3,64,31,20
9,13,3,87,28,56
11,19,4,71,90,87
7,15,4,87,61,86
1,44,2,82,83,11
3,29,2,61,51,48
9,66,3,30,85,80
3,53,3,16,69,43
8,29,3,36,36,29
2,48,4,30,79,80
9,8,4,39,76,47
8,47,2,95,52,79
12,17,1,44,62,13
11,55,2,83,83,59
10,22,1,79,62,47
5,11,3,27,39,84
5,48,3,21,72,60
10,38,3,95,53,29
7,37,3,39,31,61
2,21,4,80,66,87
7,66,1,22,97,31
4,80,1,22,74,63
10,37,3,89,54,62
8,20,3,94,29,40
7,74,4,58,89,37
12,34,4,81,40,51
8,15,1,45,79,53
5,2,3,52,71,16
1,67,4,32,64,25
7,7,2,47,26,37
10,38,2,70,74,49
12,8,4,60,43,73
9,13,2,79,34,70
10,62,1,48,50,14
2,76,4,22,88,81
10,16,4,75,56,31
5,63,3,26,82,74
2,19,3,48,100,52
9,52,1,83,44,89
12,37,1,43,46,12
10,63,4,13,74,50
11,15,2,12,56,12
7,61,3,39,45,23
2,41,3,53,26,12
8,42,4,71,60,31
5,28,4,70,35,87
2,49,2,75,49,67
11,70,4,46,62,15
10,67,1,10,85,56
3,39,1,98,99,17
4,46,2,29,36,62
10,50,3,32,69,54
12,68,1,90,58,13
4,1,1,75,38,54
8,39,2,62,88,81
9,69,2,27,39,65
8,61,3,85,81,48
2,43,2,57,42,11
7,22,3,48,81,52
10,34,1,16,55,34
8,4,3,76,86,30
12,70,3,55,47,65
2,57,2,98,95,66
6,74,3,78,38,60
10,46,1,21,64,78
1,0,2,26,63,29
6,59,4,42,65,15
3,11,4,91,57,73
2,69,2,80,21,83
11,76,3,73,77,46
2,43,3,54,68,70
3,71,2,36,32,74
12,52,1,63,36,24
4,50,3,38,96,77
9,52,4,25,32,56
5,46,4,17,80,89
6,32,3,81,96,18
11,13,2,96,76,45
1,31,3,23,41,77
5,66,4,70,30,71
11,6,2,69,99,88
11,64,2,29,95,39
6,25,1,11,98,19
1,56,2,55,76,58
10,35,3,24,94,70
6,28,4,61,46,75
11,15,1,35,72,41
10,40,3,55,97,87
6,72,4,33,30,35
1,59,3,32,69,40
9,67,4,74,55,14
6,23,2,39,25,39
11,17,1,27,84,84
6,12,1,45,28,25
5,26,4,14,42,11
1,33,2,72,37,41
3,34,2,56,67,31
6,77,3,71,78,84
